case,cp,S,K,r,q,sigma,T,american,european,diff,diff_bp
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.15,0.0821917808219178,3.298695466550247e-17,3.298444648418261e-17,2.508181319859843e-21,NaN
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.15,0.0821917808219178,4.562578992994179e-17,4.562238338379174e-17,3.406546150047202e-21,NaN
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.15,0.0821917808219178,7.402080935655598e-17,7.401543258720305e-17,5.376769352930621e-21,NaN
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.15,0.0821917808219178,1.1970356449957425e-16,1.1969510670703272e-16,8.457792541528938e-21,NaN
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.3,0.0821917808219178,3.7870019333396586e-5,3.78698263963158e-5,1.929370807880076e-10,NaN
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.3,0.0821917808219178,4.128377706891234e-5,4.1283570442075986e-5,2.0662683635494852e-10,NaN
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.3,0.0821917808219178,4.6960366691334846e-5,4.6960137865606055e-5,2.2882572879166958e-10,NaN
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.3,0.0821917808219178,5.337713172509228e-5,5.337687855110464e-5,2.5317398764051037e-10,NaN
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.6,0.0821917808219178,0.1426178666666345,0.1426178149722972,5.1694337310781435e-8,0.00032575475312472506
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.6,0.0821917808219178,0.1462761991590164,0.14627614707384984,5.208516656862727e-8,0.00032205716607258065
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.6,0.0821917808219178,0.15191893993178462,0.1519188872738373,5.265794733588791e-8,0.00031652927432077786
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.6,0.0821917808219178,0.15775264467399788,0.15775259145627318,5.3217724699239355e-8,0.0003110473774255825
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.15,0.2493150684931507,1.6669062360091419e-6,1.6668917580896068e-6,1.4477919535049196e-11,NaN
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.15,0.2493150684931507,2.3361939160101205e-6,2.3361747002630443e-6,1.9215747076211168e-11,NaN
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.15,0.2493150684931507,3.846230208811655e-6,3.846201094576053e-6,2.9114235601734254e-11,NaN
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.15,0.2493150684931507,6.27372796490439e-6,6.273684337244911e-6,4.3627659478644295e-11,NaN
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.3,0.2493150684931507,0.05143476299187397,0.05143473134278631,3.164908765618257e-8,0.00022697965930290246
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.3,0.2493150684931507,0.056663644409661665,0.056663611362772315,3.304688935001909e-8,0.0002196124962456681
