cp,r,q,sigma,absdiff
call,0.05,0.02,0.15,1.4210854715202004e-13
call,0.05,0.02,0.35,1.0658141036401503e-14
call,0.05,0.02,0.6,5.080380560684716e-13
call,0.02,0.08,0.15,2.6201263381153694e-14
call,0.02,0.08,0.35,5.684341886080802e-14
call,0.02,0.08,0.6,1.0302869668521453e-13
call,0.08,0.0,0.15,1.2967404927621828e-13
call,0.08,0.0,0.35,2.4868995751603507e-13
call,0.08,0.0,0.6,1.8829382497642655e-13
put,0.05,0.02,0.15,1.2967404927621828e-13
put,0.05,0.02,0.35,4.796163466380676e-14
put,0.05,0.02,0.6,2.2737367544323206e-13
put,0.02,0.08,0.15,3.375077994860476e-14
put,0.02,0.08,0.35,1.5276668818842154e-13
put,0.02,0.08,0.6,3.694822225952521e-13
put,0.08,0.0,0.15,5.906386491005833e-14
put,0.08,0.0,0.35,1.474376176702208e-13
put,0.08,0.0,0.6,1.4210854715202004e-13
