engine,setting,price,vs_finest
lattice,n=101,8.003266957459296,-0.00030564657423504116
lattice,n=401,8.003456999163918,-0.00011560486961315064
lattice,n=1601,8.003554768468254,-1.7835565277124488e-5
lattice,n=6401,8.003569549067446,-3.0549660845480275e-6
lattice,n=12801,8.003571662960036,-9.410734946868615e-7
fd,200x100,7.995948778699023,-0.007587221647775699
fd,400x200,8.001412275445404,-0.0021237249013950077
fd,800x400,8.00292259177489,-0.0006134085719082805
fd,1600x800,8.003368023578775,-0.00016797676802404737
fd,2400x1200,8.003465751819746,-7.024852705228568e-5
