days,divfrac,tfrac,moneyness,exact,lattice_bp,fd_bp
30,0.005,0.25,0.9,11.939511300507494,0.007965042840884949,0.0048216448201807175
30,0.005,0.25,1.0,3.453815123993288,0.0013974329142720557,0.014251696934139621
30,0.005,0.25,1.1,0.5004249796719367,0.01029115916489844,0.007972781303077167
30,0.005,0.6,0.9,11.941716133659826,0.006183064617426666,0.00485104532647129
30,0.005,0.6,1.0,3.459412403811695,0.003040524050262756,0.014241402583039573
30,0.005,0.6,1.1,0.5033915083290834,0.012385378682573256,0.007994152632068286
30,0.005,0.85,0.9,11.943241595547084,0.004989787738851267,0.004870954626306583
30,0.005,0.85,1.0,3.463397989759238,0.004227782673110963,0.01423415293629928
30,0.005,0.85,1.1,0.5055689189168973,0.013944032388168721,0.008010409548976133
30,0.01,0.25,0.9,12.397888710451017,0.015562462226215268,0.0039521131593921255
30,0.01,0.25,1.0,3.7185032562112648,0.0032522628339293454,0.01418654383433802
30,0.01,0.25,1.1,0.5670519466146491,0.021145448579215756,0.008673005127881748
30,0.01,0.6,0.9,12.4019469193208,0.012051308835284021,0.004012063573218789
30,0.01,0.6,1.0,3.7296407701678174,0.006524911741439514,0.014167176463903143
30,0.01,0.6,1.1,0.5734260147657368,0.02542156753960676,0.008711310131572636
30,0.01,0.85,0.9,12.404755663594386,0.009679518906795309,0.004052347469039194
30,0.01,0.85,1.0,3.7375479490367995,0.008870954707801259,0.014153277654151008
30,0.01,0.85,1.1,0.5780967199054639,0.028599408719368096,0.008740186460458607
30,0.02,0.25,0.9,13.327718907899783,0.029704206409690716,0.002071339300849806
30,0.02,0.25,1.0,4.2851132065407915,0.008385885371046755,0.013941680052456799
30,0.02,0.25,1.1,0.7223006182768694,0.04452184675991893,0.009951617249483602
30,0.02,0.6,0.9,13.33451864627681,0.022921856984126684,0.002189852500041348
30,0.02,0.6,1.0,4.306904019114935,0.014874278354367497,0.013911198918174406
30,0.02,0.6,1.1,0.7368304450504402,0.05335066048684014,0.010008347828911603
30,0.02,0.85,0.9,13.339235290391766,0.018202760900582007,0.0022698514017229394
30,0.02,0.85,1.0,4.322287710388655,0.01944529311054026,0.013888942627344764
30,0.02,0.85,1.1,0.7474294571397454,0.059891814246032994,0.010050610559433569
91,0.005,0.25,0.9,13.413980568947936,0.0018322196293008514,0.01131766557426713
91,0.005,0.25,1.0,5.819614531401189,0.0012328465573244757,0.01443917523666571
91,0.005,0.25,1.1,2.0828367098180793,0.004162650624242816,0.01236739093363427
91,0.005,0.6,0.9,13.421197203655163,0.0002100408507075198,0.011328939194999164
91,0.005,0.6,1.0,5.829374726480659,0.002871809924070631,0.014428860330724571
91,0.005,0.6,1.1,2.090717069938514,0.006024222624040503,0.012369021791533074
91,0.005,0.85,0.9,13.426179953123542,0.0008824265405963589,0.011336347746804061
91,0.005,0.85,1.0,5.836322623743958,0.004029875736593982,0.014421452718624706
91,0.005,0.85,1.1,2.0964919035185674,0.007424956840690067,0.012370733536516885
91,0.01,0.25,0.9,13.80384107712737,0.0035412045901155207,0.011034795731354175
91,0.01,0.25,1.0,6.073422907482389,0.002621178903449975,0.014412309427256109
91,0.01,0.25,1.1,2.2099449968916605,0.008519572873087035,0.012593292481441892
91,0.01,0.6,0.9,13.817889558911856,0.00031833931227984353,0.011060361086185874
